Instructor, Section ID,Average,,,,,,,,,,,,,
Ang,Ang4341,68.52%,,,,,,,,,,,,,
Ang,Ang5521,75.31%,,,,,,,,,,,,,
Ang,Ang6541,70.42%,,,,,,,,,,,,,
Dem,Dem1124,66.43%,,,,,,,,,,,,,
Dem,Dem2145,68.00%,,,,,,,,,,,,,
Doh,Doh2143,70.49%,,,,,,,,,,,,,
Doh,Doh1122,65.77%,,,,,,,,,,,,,
Fen,Fen3322,67.21%,,,,,,,,,,,,,
Fen,Fen5524,73.36%,,,,,,,,,,,,,
Jac,Jac6544,73.32%,,,,,,,,,,,,,
Joh,Joh3321,70.13%,,,,,,,,,,,,,
Luc,Luc4344,72.19%,,,,,,,,,,,,,
Mat,Mat1123,72.05%,,,,,,,,,,,,,
May,May-42,70.60%,,,,,,,,,,,,,
Mel,Mel2144,68.18%,,,,,,,,,,,,,
Mel,Mel4342,70.32%,,,,,,,,,,,,,
Mel,Mel6543,68.83%,,,,,,,,,,,,,
Ove,Ove1125,67.64%,,,,,,,,,,,,,
Ove,Ove3325,64.77%,,,,,,,,,,,,,
Par,Par1121,70.76%,,,,,,,,,,,,,
Par,Par2143,73.33%,,,,,,,,,,,,,
Tow,Tow5522,69.76%,,,,,,,,,,,,,
Wor,Wor3324,65.35%,,,,,,,,,,,,,
Wor,Wor5523,63.19%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Grand Average,,0.6941375,,,,,,,,,,,,,
