Question Number,CLO,Value,Type,Subject,Average ,Maximum,Q3,Median,Mode,Q1,Minimum,,,,,,,,,,,,,,,,,,,,,,
1,CLO 2,1.5,Match,6-Week Topics,96.35%,100.00%,100.00%,100.00%,100.00%,100.00%,52.78%,,,,,,,,,,,,,,,,,,,,,,
2,CLO 2,1.5,Fill-in-the-Blank,6-Week Topics,63.71%,98.61%,82.99%,70.49%,68.06%,44.62%,15.28%,,,,,,,,,,,,,,,,,,,,,,
3,CLO 2,1.5,Fill-in-the-Blank,6-Week Topics,67.51%,100.00%,89.76%,73.26%,77.78%,53.99%,4.86%,,,,,,,,,,,,,,,,,,,,,,
4,CLO 3,2,Match,6-Week Topics,65.62%,97.92%,82.03%,71.61%,71.88%,51.56%,15.63%,,,,,,,,,,,,,,,,,,,,,,
5,CLO 3,2.5,Fill-in-the-Blank,6-Week Topics,61.95%,98.75%,79.38%,63.96%,68.75%,43.85%,11.67%,,,,,,,,,,,,,,,,,,,,,,
6,CLO 2,1.5,Multiple Select,6-Week Topics,87.28%,100.00%,100.00%,98.61%,100.00%,82.29%,34.03%,,,,,,,,,,,,,,,,,,,,,,
7,CLO 4,1.5,Fill-in-the-Blank,6-Week Topics,58.68%,100.00%,100.00%,69.44%,66.67%,14.58%,0.00%,,,,,,,,,,,,,,,,,,,,,,
8,CLO 6,1.5,Single-Select,12-Week Topics,86.49%,100.00%,100.00%,100.00%,100.00%,89.58%,12.50%,,,,,,,,,,,,,,,,,,,,,,
9,CLO 1,2,Single-Select,6-Week Topics,70.27%,100.00%,100.00%,97.92%,95.83%,42.97%,8.33%,,,,,,,,,,,,,,,,,,,,,,
10,CLO 2,2,Solve,6-Week Topics,54.89%,97.92%,77.08%,51.04%,50.00%,41.67%,4.17%,,,,,,,,,,,,,,,,,,,,,,
11,CLO 2,1.5,Solve,6-Week Topics,84.07%,100.00%,100.00%,91.32%,93.06%,71.18%,38.89%,,,,,,,,,,,,,,,,,,,,,,
12,CLO 4,3,Fill-in-the-Blank,6-Week Topics,40.53%,91.67%,58.16%,39.93%,37.50%,21.88%,1.39%,,,,,,,,,,,,,,,,,,,,,,
13,CLO 4,1,True/False,12-Week Topics,56.80%,100.00%,100.00%,60.42%,62.50%,8.33%,0.00%,,,,,,,,,,,,,,,,,,,,,,
14,CLO 2,2,Solve,12-Week Topics,44.57%,98.96%,68.49%,41.93%,41.15%,17.84%,0.52%,,,,,,,,,,,,,,,,,,,,,,
15,CLO 2,1.5,True/False,12-Week Topics,71.68%,100.00%,100.00%,97.92%,95.83%,42.71%,0.00%,,,,,,,,,,,,,,,,,,,,,,
16,CLO 2,2,Fill-in-the-Blank,12-Week Topics,63.71%,100.00%,97.40%,74.48%,91.67%,36.33%,0.00%,,,,,,,,,,,,,,,,,,,,,,
17,CLO 2,1.5,Single-Select,12-Week Topics,79.90%,100.00%,100.00%,100.00%,100.00%,84.38%,4.17%,,,,,,,,,,,,,,,,,,,,,,
18,CLO 2,2,Single-Select,12-Week Topics,96.57%,100.00%,100.00%,100.00%,100.00%,100.00%,52.08%,,,,,,,,,,,,,,,,,,,,,,
19,CLO 1,2,Fill-in-the-Blank,6-Week Topics,84.63%,100.00%,100.00%,96.88%,100.00%,79.69%,18.75%,,,,,,,,,,,,,,,,,,,,,,
20,CLO 1,1.5,Multiple Select,6-Week Topics,76.17%,100.00%,100.00%,76.74%,79.86%,56.94%,38.19%,,,,,,,,,,,,,,,,,,,,,,
21,CLO 3,3,True/False,12-Week Topics,46.85%,77.08%,53.47%,51.39%,51.39%,39.06%,13.19%,,,,,,,,,,,,,,,,,,,,,,
22,CLO 3,1,Single-Select,12-Week Topics,87.07%,100.00%,100.00%,100.00%,100.00%,94.27%,12.50%,,,,,,,,,,,,,,,,,,,,,,
23,CLO 2,2.5,Solve,12-Week Topics,69.42%,100.00%,98.44%,81.25%,93.33%,46.25%,5.83%,,,,,,,,,,,,,,,,,,,,,,
24,CLO 3,2,Multiple Select,12-Week Topics,59.24%,93.75%,77.86%,65.63%,67.19%,41.54%,8.33%,,,,,,,,,,,,,,,,,,,,,,
25,CLO 6,2,Single-Select,12-Week Topics,40.39%,100.00%,82.29%,29.17%,25.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,
26,CLO 1,2,Fill-in-the-Blank,Hashing/Passwords,95.66%,100.00%,100.00%,100.00%,100.00%,100.00%,52.08%,,,,,,,,,,,,,,,,,,,,,,
27,CLO 4,3,Match,12-Week Topics,75.38%,100.00%,93.75%,76.39%,84.03%,65.45%,27.78%,,,,,,,,,,,,,,,,,,,,,,
28,CLO 4,3,Single-Select,Cryptography,75.76%,100.00%,100.00%,95.83%,95.83%,57.29%,0.00%,,,,,,,,,,,,,,,,,,,,,,
29,CLO 4,2,Solve,Cryptography,92.16%,100.00%,100.00%,100.00%,100.00%,98.96%,37.50%,,,,,,,,,,,,,,,,,,,,,,
30,CLO 4,2,Multiple Select,Hashing/Passwords,44.32%,96.35%,61.46%,41.93%,41.15%,26.43%,1.04%,,,,,,,,,,,,,,,,,,,,,,
31,CLO 4,1,True/False,Hashing/Passwords,86.35%,100.00%,100.00%,100.00%,100.00%,84.38%,12.50%,,,,,,,,,,,,,,,,,,,,,,
32,CLO 4,2,Multiple Select,Hashing/Passwords,64.17%,100.00%,100.00%,86.46%,87.50%,24.22%,0.00%,,,,,,,,,,,,,,,,,,,,,,
33,CLO 5,3,Fill-in-the-Blank,Cryptography,84.19%,100.00%,100.00%,98.61%,100.00%,73.96%,23.61%,,,,,,,,,,,,,,,,,,,,,,
34,CLO 6,2,True/False,Cryptography,91.19%,100.00%,100.00%,100.00%,100.00%,99.22%,12.50%,,,,,,,,,,,,,,,,,,,,,,
